"TIME","GEO","UNIT","PURPOSE","DURATION","PARTNER","Value","Flag and Footnotes"
"2008","Belgium","Thousand euro","Total","1 night or over","Domestic","583,254",""
"2008","Bulgaria","Thousand euro","Total","1 night or over","Domestic","726,931",""
"2008","Czechia","Thousand euro","Total","1 night or over","Domestic","1,747,265",""
"2008","Denmark","Thousand euro","Total","1 night or over","Domestic","2,230,528",""
"2008","Germany (until 1990 former territory of the FRG)","Thousand euro","Total","1 night or over","Domestic","45,131,500",""
"2008","Estonia","Thousand euro","Total","1 night or over","Domestic","43,382",""
"2008","Ireland","Thousand euro","Total","1 night or over","Domestic","1,245,000",""
"2008","Greece","Thousand euro","Total","1 night or over","Domestic","4,114,640",""
"2008","Spain","Thousand euro","Total","1 night or over","Domestic","22,034,033",""
"2008","France","Thousand euro","Total","1 night or over","Domestic","87,512,000",""
"2008","Croatia","Thousand euro","Total","1 night or over","Domestic","933,321",""
"2008","Italy","Thousand euro","Total","1 night or over","Domestic","25,005,744",""
"2008","Cyprus","Thousand euro","Total","1 night or over","Domestic",":",""
"2008","Latvia","Thousand euro","Total","1 night or over","Domestic","124,087",""
"2008","Lithuania","Thousand euro","Total","1 night or over","Domestic","133,451",""
"2008","Luxembourg","Thousand euro","Total","1 night or over","Domestic",":","u"
"2008","Hungary","Thousand euro","Total","1 night or over","Domestic","1,139,979",""
"2008","Malta","Thousand euro","Total","1 night or over","Domestic",":",""
"2008","Netherlands","Thousand euro","Total","1 night or over","Domestic",":",""
"2008","Austria","Thousand euro","Total","1 night or over","Domestic","3,464,508",""
"2008","Poland","Thousand euro","Total","1 night or over","Domestic","3,727,115",""
"2008","Portugal","Thousand euro","Total","1 night or over","Domestic",":","u"
"2008","Romania","Thousand euro","Total","1 night or over","Domestic","1,005,117",""
"2008","Slovenia","Thousand euro","Total","1 night or over","Domestic","201,437",""
"2008","Slovakia","Thousand euro","Total","1 night or over","Domestic","886,270",""
"2008","Finland","Thousand euro","Total","1 night or over","Domestic","4,874,000",""
"2008","Sweden","Thousand euro","Total","1 night or over","Domestic","5,678,093",""
"2008","United Kingdom","Thousand euro","Total","1 night or over","Domestic","24,643,342",""
"2008","Iceland","Thousand euro","Total","1 night or over","Domestic",":",""
"2008","Norway","Thousand euro","Total","1 night or over","Domestic","4,844,049",""
"2008","Switzerland","Thousand euro","Total","1 night or over","Domestic","1,872,874",""
"2009","Belgium","Thousand euro","Total","1 night or over","Domestic","489,332",""
"2009","Bulgaria","Thousand euro","Total","1 night or over","Domestic","1,120,315",""
"2009","Czechia","Thousand euro","Total","1 night or over","Domestic","1,523,448",""
"2009","Denmark","Thousand euro","Total","1 night or over","Domestic","2,442,331",""
"2009","Germany (until 1990 former territory of the FRG)","Thousand euro","Total","1 night or over","Domestic","46,265,110",""
"2009","Estonia","Thousand euro","Total","1 night or over","Domestic","42,305",""
"2009","Ireland","Thousand euro","Total","1 night or over","Domestic","1,018,000",""
"2009","Greece","Thousand euro","Total","1 night or over","Domestic","3,727,558",""
"2009","Spain","Thousand euro","Total","1 night or over","Domestic","21,306,668",""
"2009","France","Thousand euro","Total","1 night or over","Domestic","44,960,638",""
"2009","Croatia","Thousand euro","Total","1 night or over","Domestic","800,222",""
"2009","Italy","Thousand euro","Total","1 night or over","Domestic","23,090,818",""
"2009","Cyprus","Thousand euro","Total","1 night or over","Domestic",":",""
"2009","Latvia","Thousand euro","Total","1 night or over","Domestic","105,161",""
"2009","Lithuania","Thousand euro","Total","1 night or over","Domestic","103,651",""
"2009","Luxembourg","Thousand euro","Total","1 night or over","Domestic",":","u"
"2009","Hungary","Thousand euro","Total","1 night or over","Domestic","830,807",""
"2009","Malta","Thousand euro","Total","1 night or over","Domestic",":",""
"2009","Netherlands","Thousand euro","Total","1 night or over","Domestic",":",""
"2009","Austria","Thousand euro","Total","1 night or over","Domestic","3,617,700",""
"2009","Poland","Thousand euro","Total","1 night or over","Domestic","2,851,465",""
"2009","Portugal","Thousand euro","Total","1 night or over","Domestic","1,668,437",""
"2009","Romania","Thousand euro","Total","1 night or over","Domestic","989,219",""
"2009","Slovenia","Thousand euro","Total","1 night or over","Domestic","262,141",""
"2009","Slovakia","Thousand euro","Total","1 night or over","Domestic","847,183",""
"2009","Finland","Thousand euro","Total","1 night or over","Domestic","4,915,000",""
"2009","Sweden","Thousand euro","Total","1 night or over","Domestic","5,159,571",""
"2009","United Kingdom","Thousand euro","Total","1 night or over","Domestic","23,163,176",""
"2009","Iceland","Thousand euro","Total","1 night or over","Domestic",":",""
"2009","Norway","Thousand euro","Total","1 night or over","Domestic","4,361,466",""
"2009","Switzerland","Thousand euro","Total","1 night or over","Domestic",":","u"
"2010","Belgium","Thousand euro","Total","1 night or over","Domestic","432,086",""
"2010","Bulgaria","Thousand euro","Total","1 night or over","Domestic","791,834",""
"2010","Czechia","Thousand euro","Total","1 night or over","Domestic","1,290,829",""
"2010","Denmark","Thousand euro","Total","1 night or over","Domestic","3,204,554",""
