"TIME","GEO","UNIT","DURATION","PARTNER","AGE","Value","Flag and Footnotes"
"2012","Belgium","Number","1 night or over","Domestic","Less than 15 years",":",""
"2012","Belgium","Number","1 night or over","Domestic","From 15 to 24 years","59,710",""
"2012","Belgium","Number","1 night or over","Domestic","From 25 to 34 years","60,178",""
"2012","Belgium","Number","1 night or over","Domestic","From 25 to 44 years","157,679",""
"2012","Belgium","Number","1 night or over","Domestic","From 35 to 44 years","97,501",""
"2012","Belgium","Number","1 night or over","Domestic","From 45 to 54 years","113,165",""
"2012","Belgium","Number","1 night or over","Domestic","From 45 to 64 years","214,373",""
"2012","Belgium","Number","1 night or over","Domestic","From 55 to 64 years","101,209",""
"2012","Belgium","Number","1 night or over","Domestic","65 years or over","86,522",""
"2012","Bulgaria","Number","1 night or over","Domestic","Less than 15 years",":",""
"2012","Bulgaria","Number","1 night or over","Domestic","From 15 to 24 years","173,046",""
"2012","Bulgaria","Number","1 night or over","Domestic","From 25 to 34 years","233,640",""
"2012","Bulgaria","Number","1 night or over","Domestic","From 25 to 44 years","464,807",""
"2012","Bulgaria","Number","1 night or over","Domestic","From 35 to 44 years","231,167",""
"2012","Bulgaria","Number","1 night or over","Domestic","From 45 to 54 years","159,979",""
"2012","Bulgaria","Number","1 night or over","Domestic","From 45 to 64 years","277,928",""
"2012","Bulgaria","Number","1 night or over","Domestic","From 55 to 64 years","117,949",""
"2012","Bulgaria","Number","1 night or over","Domestic","65 years or over","97,187",""
"2012","Czechia","Number","1 night or over","Domestic","Less than 15 years",":",""
"2012","Czechia","Number","1 night or over","Domestic","From 15 to 24 years","356,020",""
"2012","Czechia","Number","1 night or over","Domestic","From 25 to 34 years","588,760",""
"2012","Czechia","Number","1 night or over","Domestic","From 25 to 44 years","1,080,406",""
"2012","Czechia","Number","1 night or over","Domestic","From 35 to 44 years","491,646",""
"2012","Czechia","Number","1 night or over","Domestic","From 45 to 54 years","439,891",""
"2012","Czechia","Number","1 night or over","Domestic","From 45 to 64 years","1,013,265",""
"2012","Czechia","Number","1 night or over","Domestic","From 55 to 64 years","573,374",""
"2012","Czechia","Number","1 night or over","Domestic","65 years or over","727,606",""
"2012","Denmark","Number","1 night or over","Domestic","Less than 15 years",":",""
"2012","Denmark","Number","1 night or over","Domestic","From 15 to 24 years","132,592","e"
"2012","Denmark","Number","1 night or over","Domestic","From 25 to 34 years","128,588","e"
"2012","Denmark","Number","1 night or over","Domestic","From 25 to 44 years","335,319","e"
"2012","Denmark","Number","1 night or over","Domestic","From 35 to 44 years","206,731","e"
"2012","Denmark","Number","1 night or over","Domestic","From 45 to 54 years","169,892","e"
"2012","Denmark","Number","1 night or over","Domestic","From 45 to 64 years","335,409","e"
"2012","Denmark","Number","1 night or over","Domestic","From 55 to 64 years","165,517","e"
"2012","Denmark","Number","1 night or over","Domestic","65 years or over","155,641","e"
"2012","Germany (until 1990 former territory of the FRG)","Number","1 night or over","Domestic","Less than 15 years",":",""
"2012","Germany (until 1990 former territory of the FRG)","Number","1 night or over","Domestic","From 15 to 24 years","1,922,716",""
"2012","Germany (until 1990 former territory of the FRG)","Number","1 night or over","Domestic","From 25 to 34 years","2,585,614",""
"2012","Germany (until 1990 former territory of the FRG)","Number","1 night or over","Domestic","From 25 to 44 years","5,794,717",""
"2012","Germany (until 1990 former territory of the FRG)","Number","1 night or over","Domestic","From 35 to 44 years","3,209,103",""
"2012","Germany (until 1990 former territory of the FRG)","Number","1 night or over","Domestic","From 45 to 54 years","3,280,112",""
"2012","Germany (until 1990 former territory of the FRG)","Number","1 night or over","Domestic","From 45 to 64 years","5,887,731",""
"2012","Germany (until 1990 former territory of the FRG)","Number","1 night or over","Domestic","From 55 to 64 years","2,607,619",""
"2012","Germany (until 1990 former territory of the FRG)","Number","1 night or over","Domestic","65 years or over","3,982,354",""
"2012","Estonia","Number","1 night or over","Domestic","Less than 15 years",":",""
"2012","Estonia","Number","1 night or over","Domestic","From 15 to 24 years","37,949",""
"2012","Estonia","Number","1 night or over","Domestic","From 25 to 34 years","52,120",""
"2012","Estonia","Number","1 night or over","Domestic","From 25 to 44 years","92,865",""
"2012","Estonia","Number","1 night or over","Domestic","From 35 to 44 years","40,745",""
"2012","Estonia","Number","1 night or over","Domestic","From 45 to 54 years","31,805",""
"2012","Estonia","Number","1 night or over","Domestic","From 45 to 64 years","60,175",""
"2012","Estonia","Number","1 night or over","Domestic","From 55 to 64 years","28,371",""
"2012","Estonia","Number","1 night or over","Domestic","65 years or over","39,674",""
"2012","Ireland","Number","1 night or over","Domestic","Less than 15 years",":",""
"2012","Ireland","Number","1 night or over","Domestic","From 15 to 24 years","84,096",""
"2012","Ireland","Number","1 night or over","Domestic","From 25 to 34 years","133,449",""
"2012","Ireland","Number","1 night or over","Domestic","From 25 to 44 years","279,051",""
"2012","Ireland","Number","1 night or over","Domestic","From 35 to 44 years","145,603",""
"2012","Ireland","Number","1 night or over","Domestic","From 45 to 54 years","113,100",""
"2012","Ireland","Number","1 night or over","Domestic","From 45 to 64 years","181,152",""
"2012","Ireland","Number","1 night or over","Domestic","From 55 to 64 years","68,052",""
"2012","Ireland","Number","1 night or over","Domestic","65 years or over","120,886",""
"2012","Greece","Number","1 night or over","Domestic","Less than 15 years",":",""
"2012","Greece","Number","1 night or over","Domestic","From 15 to 24 years","405,083",""
"2012","Greece","Number","1 night or over","Domestic","From 25 to 34 years","536,043",""
"2012","Greece","Number","1 night or over","Domestic","From 25 to 44 years","1,207,361",""
"2012","Greece","Number","1 night or over","Domestic","From 35 to 44 years","671,318",""
"2012","Greece","Number","1 night or over","Domestic","From 45 to 54 years","579,409",""
"2012","Greece","Number","1 night or over","Domestic","From 45 to 64 years","991,762",""
"2012","Greece","Number","1 night or over","Domestic","From 55 to 64 years","412,353",""
"2012","Greece","Number","1 night or over","Domestic","65 years or over","460,317",""
"2012","Spain","Number","1 night or over","Domestic","Less than 15 years",":",""
"2012","Spain","Number","1 night or over","Domestic","From 15 to 24 years","1,850,906",""
"2012","Spain","Number","1 night or over","Domestic","From 25 to 34 years","2,630,416",""
"2012","Spain","Number","1 night or over","Domestic","From 25 to 44 years","6,283,933",""
"2012","Spain","Number","1 night or over","Domestic","From 35 to 44 years","3,653,516",""
"2012","Spain","Number","1 night or over","Domestic","From 45 to 54 years","3,037,870",""
"2012","Spain","Number","1 night or over","Domestic","From 45 to 64 years","5,316,026",""
"2012","Spain","Number","1 night or over","Domestic","From 55 to 64 years","2,278,157",""
"2012","Spain","Number","1 night or over","Domestic","65 years or over","2,727,533",""
"2012","France","Number","1 night or over","Domestic","Less than 15 years",":",""
"2012","France","Number","1 night or over","Domestic","From 15 to 24 years","3,354,097",""
"2012","France","Number","1 night or over","Domestic","From 25 to 34 years","4,345,865",""
"2012","France","Number","1 night or over","Domestic","From 25 to 44 years","9,535,086",""
"2012","France","Number","1 night or over","Domestic","From 35 to 44 years","5,189,221",""
"2012","France","Number","1 night or over","Domestic","From 45 to 54 years","3,808,659",""
"2012","France","Number","1 night or over","Domestic","From 45 to 64 years","8,109,080",""
"2012","France","Number","1 night or over","Domestic","From 55 to 64 years","4,300,421",""
"2012","France","Number","1 night or over","Domestic","65 years or over","5,107,527",""
"2012","Croatia","Number","1 night or over","Domestic","Less than 15 years",":",""
"2012","Croatia","Number","1 night or over","Domestic","From 15 to 24 years","220,851","u"
"2012","Croatia","Number","1 night or over","Domestic","From 25 to 34 years","186,512","u"
"2012","Croatia","Number","1 night or over","Domestic","From 25 to 44 years","369,492","u"
"2012","Croatia","Number","1 night or over","Domestic","From 35 to 44 years","182,979","u"
"2012","Croatia","Number","1 night or over","Domestic","From 45 to 54 years","146,292","u"
"2012","Croatia","Number","1 night or over","Domestic","From 45 to 64 years","255,501","u"
"2012","Croatia","Number","1 night or over","Domestic","From 55 to 64 years","109,209","u"
"2012","Croatia","Number","1 night or over","Domestic","65 years or over","101,109","u"
"2012","Italy","Number","1 night or over","Domestic","Less than 15 years","4,792,920",""
"2012","Italy","Number","1 night or over","Domestic","From 15 to 24 years","2,311,943",""
"2012","Italy","Number","1 night or over","Domestic","From 25 to 34 years","2,373,112",""
"2012","Italy","Number","1 night or over","Domestic","From 25 to 44 years","7,492,384",""
"2012","Italy","Number","1 night or over","Domestic","From 35 to 44 years","5,119,272",""
"2012","Italy","Number","1 night or over","Domestic","From 45 to 54 years","3,933,140",""
"2012","Italy","Number","1 night or over","Domestic","From 45 to 64 years","6,307,040",""
"2012","Italy","Number","1 night or over","Domestic","From 55 to 64 years","2,373,900",""
"2012","Italy","Number","1 night or over","Domestic","65 years or over","2,431,191",""
"2012","Cyprus","Number","1 night or over","Domestic","Less than 15 years",":",""
"2012","Cyprus","Number","1 night or over","Domestic","From 15 to 24 years","41,297","e"
"2012","Cyprus","Number","1 night or over","Domestic","From 25 to 34 years","44,851","e"
"2012","Cyprus","Number","1 night or over","Domestic","From 25 to 44 years","78,232","e"
"2012","Cyprus","Number","1 night or over","Domestic","From 35 to 44 years","33,381","e"
"2012","Cyprus","Number","1 night or over","Domestic","From 45 to 54 years","25,682","e"
"2012","Cyprus","Number","1 night or over","Domestic","From 45 to 64 years","51,504","e"
"2012","Cyprus","Number","1 night or over","Domestic","From 55 to 64 years","25,822","e"
"2012","Cyprus","Number","1 night or over","Domestic","65 years or over","31,973","e"
"2012","Latvia","Number","1 night or over","Domestic","Less than 15 years",":",""
"2012","Latvia","Number","1 night or over","Domestic","From 15 to 24 years","56,364",""
"2012","Latvia","Number","1 night or over","Domestic","From 25 to 34 years","92,778",""
"2012","Latvia","Number","1 night or over","Domestic","From 25 to 44 years","148,599",""
"2012","Latvia","Number","1 night or over","Domestic","From 35 to 44 years","55,821",""
"2012","Latvia","Number","1 night or over","Domestic","From 45 to 54 years","79,954",""
"2012","Latvia","Number","1 night or over","Domestic","From 45 to 64 years","133,395",""
"2012","Latvia","Number","1 night or over","Domestic","From 55 to 64 years","53,441",""
"2012","Latvia","Number","1 night or over","Domestic","65 years or over","66,359",""
"2012","Lithuania","Number","1 night or over","Domestic","Less than 15 years",":",""
"2012","Lithuania","Number","1 night or over","Domestic","From 15 to 24 years","113,917",""
"2012","Lithuania","Number","1 night or over","Domestic","From 25 to 34 years","131,225",""
"2012","Lithuania","Number","1 night or over","Domestic","From 25 to 44 years","240,582",""
"2012","Lithuania","Number","1 night or over","Domestic","From 35 to 44 years","109,357",""
"2012","Lithuania","Number","1 night or over","Domestic","From 45 to 54 years","106,081",""
"2012","Lithuania","Number","1 night or over","Domestic","From 45 to 64 years","186,962",""
"2012","Lithuania","Number","1 night or over","Domestic","From 55 to 64 years","80,881",""
"2012","Lithuania","Number","1 night or over","Domestic","65 years or over","101,561",""
"2012","Luxembourg","Number","1 night or over","Domestic","Less than 15 years",":",""
"2012","Luxembourg","Number","1 night or over","Domestic","From 15 to 24 years","441",""
"2012","Luxembourg","Number","1 night or over","Domestic","From 25 to 34 years","390",""
"2012","Luxembourg","Number","1 night or over","Domestic","From 25 to 44 years","390",""
"2012","Luxembourg","Number","1 night or over","Domestic","From 35 to 44 years","0",""
"2012","Luxembourg","Number","1 night or over","Domestic","From 45 to 54 years","228",""
"2012","Luxembourg","Number","1 night or over","Domestic","From 45 to 64 years","549",""
"2012","Luxembourg","Number","1 night or over","Domestic","From 55 to 64 years","321",""
"2012","Luxembourg","Number","1 night or over","Domestic","65 years or over","1,259",""
"2012","Hungary","Number","1 night or over","Domestic","Less than 15 years",":",""
"2012","Hungary","Number","1 night or over","Domestic","From 15 to 24 years","387,789",""
"2012","Hungary","Number","1 night or over","Domestic","From 25 to 34 years","422,572",""
"2012","Hungary","Number","1 night or over","Domestic","From 25 to 44 years","972,969",""
"2012","Hungary","Number","1 night or over","Domestic","From 35 to 44 years","550,397",""
"2012","Hungary","Number","1 night or over","Domestic","From 45 to 54 years","437,616",""
"2012","Hungary","Number","1 night or over","Domestic","From 45 to 64 years","908,377",""
"2012","Hungary","Number","1 night or over","Domestic","From 55 to 64 years","470,761",""
"2012","Hungary","Number","1 night or over","Domestic","65 years or over","485,297",""
"2012","Malta","Number","1 night or over","Domestic","Less than 15 years",":",""
"2012","Malta","Number","1 night or over","Domestic","From 15 to 24 years","16,964",""
"2012","Malta","Number","1 night or over","Domestic","From 25 to 34 years","16,650",""
"2012","Malta","Number","1 night or over","Domestic","From 25 to 44 years","29,510",""
"2012","Malta","Number","1 night or over","Domestic","From 35 to 44 years","12,859",""
"2012","Malta","Number","1 night or over","Domestic","From 45 to 54 years","10,823",""
"2012","Malta","Number","1 night or over","Domestic","From 45 to 64 years","21,545",""
"2012","Malta","Number","1 night or over","Domestic","From 55 to 64 years","10,723",""
"2012","Malta","Number","1 night or over","Domestic","65 years or over","7,555",""
"2012","Netherlands","Number","1 night or over","Domestic","Less than 15 years",":",""
"2012","Netherlands","Number","1 night or over","Domestic","From 15 to 24 years","532,178",""
"2012","Netherlands","Number","1 night or over","Domestic","From 25 to 34 years","517,595",""
