"Year","Geo","Y15-24","Y25-34","Y35-44","Y45-64","Y_GE65"
"2012","AT","183968","203981","311795","421235","234120"
"2013","AT","179571","198794","259819","461346","228191"
"2014","AT","194858","219775","268626","390663","274276"
"2015","AT","169487","202059","250535","454711","267788"
"2016","AT","169484","238664","234683","465672","255514"
"2017","AT","151093","204403","199057","484167","265688"
"2012","BE","183968","203981","311795","421235","234120"
"2013","BE","179571","198794","259819","461346","228191"
"2014","BE","194858","219775","268626","390663","274276"
"2015","BE","169487","202059","250535","454711","267788"
"2016","BE","169484","238664","234683","465672","255514"
"2017","BE","151093","204403","199057","484167","265688"
"2012","BG","183968","203981","311795","421235","234120"
"2013","BG","179571","198794","259819","461346","228191"
"2014","BG","194858","219775","268626","390663","274276"
"2015","BG","169487","202059","250535","454711","267788"
"2016","BG","169484","238664","234683","465672","255514"
"2017","BG","151093","204403","199057","484167","265688"
"2012","CY","183968","203981","311795","421235","234120"
"2013","CY","179571","198794","259819","461346","228191"
"2014","CY","194858","219775","268626","390663","274276"
"2015","CY","169487","202059","250535","454711","267788"
"2016","CY","169484","238664","234683","465672","255514"
"2017","CY","151093","204403","199057","484167","265688"
"2012","CZ","183968","203981","311795","421235","234120"
"2013","CZ","179571","198794","259819","461346","228191"
"2014","CZ","194858","219775","268626","390663","274276"
"2015","CZ","169487","202059","250535","454711","267788"
"2016","CZ","169484","238664","234683","465672","255514"
"2017","CZ","151093","204403","199057","484167","265688"
"2012","DE","183968","203981","311795","421235","234120"
"2013","DE","179571","198794","259819","461346","228191"
"2014","DE","194858","219775","268626","390663","274276"
"2015","DE","169487","202059","250535","454711","267788"
"2016","DE","169484","238664","234683","465672","255514"
"2017","DE","151093","204403","199057","484167","265688"
"2012","DK","59710","60178","97501","214373","86522"
"2013","DK","37795","113536","72609","168864","97135"
"2014","DK","44793","45690","107149","190524","52698"
"2015","DK","82501","76849","110129","181755","49200"
"2016","DK",NA,"55968","46148","127418","127115"
"2017","DK","65491","123876","107243","203903","130472"
"2012","EE","59710","60178","97501","214373","86522"
"2013","EE","37795","113536","72609","168864","97135"
"2014","EE","44793","45690","107149","190524","52698"
"2015","EE","82501","76849","110129","181755","49200"
"2016","EE",NA,"55968","46148","127418","127115"
"2017","EE","65491","123876","107243","203903","130472"
"2012","ES","59710","60178","97501","214373","86522"
"2013","ES","37795","113536","72609","168864","97135"
"2014","ES","44793","45690","107149","190524","52698"
"2015","ES","82501","76849","110129","181755","49200"
"2016","ES",NA,"55968","46148","127418","127115"
"2017","ES","65491","123876","107243","203903","130472"
"2012","FI","59710","60178","97501","214373","86522"
"2013","FI","37795","113536","72609","168864","97135"
"2014","FI","44793","45690","107149","190524","52698"
"2015","FI","82501","76849","110129","181755","49200"
"2016","FI",NA,"55968","46148","127418","127115"
"2017","FI","65491","123876","107243","203903","130472"
"2012","FR","59710","60178","97501","214373","86522"
"2013","FR","37795","113536","72609","168864","97135"
"2014","FR","44793","45690","107149","190524","52698"
"2015","FR","82501","76849","110129","181755","49200"
"2016","FR",NA,"55968","46148","127418","127115"
"2017","FR","65491","123876","107243","203903","130472"
"2012","HR","59710","60178","97501","214373","86522"
"2013","HR","37795","113536","72609","168864","97135"
"2014","HR","44793","45690","107149","190524","52698"
"2015","HR","82501","76849","110129","181755","49200"
"2016","HR",NA,"55968","46148","127418","127115"
"2017","HR","65491","123876","107243","203903","130472"
"2012","HU","173046","233640","231167","277928","97187"
"2013","HU","215482","219248","285982","364604","111615"
"2014","HU","194371","363252","303513","428815","140823"
"2015","HU","227737","359397","344609","471668","132359"
"2016","HU","262087","328684","402843","506014","122856"
"2017","HU","309824","330493","414263","581372","185078"
"2012","IE","173046","233640","231167","277928","97187"
"2013","IE","215482","219248","285982","364604","111615"
"2014","IE","194371","363252","303513","428815","140823"
"2015","IE","227737","359397","344609","471668","132359"
"2016","IE","262087","328684","402843","506014","122856"
"2017","IE","309824","330493","414263","581372","185078"
"2012","IT","173046","233640","231167","277928","97187"
"2013","IT","215482","219248","285982","364604","111615"
"2014","IT","194371","363252","303513","428815","140823"
"2015","IT","227737","359397","344609","471668","132359"
"2016","IT","262087","328684","402843","506014","122856"
"2017","IT","309824","330493","414263","581372","185078"
"2012","LT","173046","233640","231167","277928","97187"
"2013","LT","215482","219248","285982","364604","111615"
"2014","LT","194371","363252","303513","428815","140823"
"2015","LT","227737","359397","344609","471668","132359"
"2016","LT","262087","328684","402843","506014","122856"
"2017","LT","309824","330493","414263","581372","185078"
"2012","LU","173046","233640","231167","277928","97187"
"2013","LU","215482","219248","285982","364604","111615"
"2014","LU","194371","363252","303513","428815","140823"
