"","year","T&T industry Share of GDP (% of total GDP)","Business costs of terrorism 1-7","Homicide cases/100000 population","Number of physician/1000 pop","% pop. with access to improved sanitation","% pop. with access to improved drinking water","Hospital beds/10000 pop.","Pay and productivity 1-7","ICT use for business-to-business transactions 1-7","Quality of electricity supply 1-7","T&T government expenditure","Effectiveness of marketing and branding to attract tourists 1-7","Timeliness of providing monthly/quarterly T&T data","Country brand strategy rating ","Quality of roads 1-7","Quality of railroad infrastructure 1-7","Quality of port infrastructure 1-7","Ground transport efficiency 1-7","Railroad density","Hotel rooms","Quality of tourism infrastructure 1-7","Presence of major car rental companies 1-7 (best)","Automated teller machines per 100000 adults","Number of World Heritage natural sites","Total known species"
"AUT",2017,"5.46766","5.796877853","1205.144296","3.378","100","100","76","4.567848328","5.80539957","6.614912698","868.4851476","5.217471488","20","87.63699326","5.987355854","5.315557188","3.918013701","5.566134214","6.030114808","3.390674907","6.18741223","7","119.4389744","0","416"
"BEL",2017,"2.45557","4.847479368","1436.448024","3.782","99.5","100","65","4.688945221","5.729796217","6.212003781","747.3156717","4.524184247","18","71.68699384","4.879242913","4.877153805","6.295224487","4.454509974","11.71962005","0.667905932","5.644788599","7","93.90762454","0","353"
"BGR",2017,"3.29864","4.453509651","1561.112883","3.866","86","99.4","64","3.963829152","4.913699716","4.621151068","890.3587225","3.721502676","20.5","63.99240901","3.373830933","3.051192394","4.010576172","3.646551728","3.624324324","1.73541594","4.260986587","7","90.7152512","2","448"
"HRV",2017,"10.1124","6.162839245","1132.780637","3","97","99.6","58.9","3.975649389","4.510799266","5.768725037","907.6922267","4.891831725","20","63.75654594","5.514723584","2.727035329","4.568901634","3.794519663","4.601519703","1.856616933","4.662732344","7","116.8194345","1","426"
"CYP",2017,"6.37003","5.479745129","1252.836003","2.329","100","100","35","3.728887602","4.428506115","5.273184097","1095.35971","4.227643786","20.5","73.96541636","4.928371925","1.448818895","4.253458316","2.657692313","n/a","3.537114906","5.179461646","7","53.12688158","0","313"
"CZE",2017,"2.52911","5.957646346","1160.143119","3.513","99.1","100","68","4.744384809","5.404814592","6.387761473","690.0591012","3.855485425","18","51.67378316","4.098918191","4.551149186","3.362605917","4.872641563","11.98934956","1.289197011","4.894308758","7","49.79900876","0","386"
"DNK",2017,"2.02126","5.092829032","1362.576234","3.485","99.6","100","35","4.977278078","5.844861537","6.750397935","659.0456023","4.240886264","20","75.03308057","5.705236914","4.702656227","5.728253389","4.977272749","4.945462984","0.776567732","5.074819774","7","54.28569379","3","358"
"EST",2017,"3.88592","6.182700148","1129.626797","3.242","97.2","99.6","53","4.965088497","5.826686925","5.737669038","847.5889782","4.432874297","20","85.57152169","4.668800288","4.020654682","5.581704202","5.033707857","1.751050188","1.17942253","5.426306812","7","76.81975404","0","324"
"FIN",2017,"2.07269","6.430321671","1077.029811","2.905","97.6","100","55","4.828973758","5.872995317","6.609401737","687.4226597","4.208092988","19","74.67161715","5.668687652","5.657386278","6.249936399","5.857770681","1.756397376","1.034711154","5.576733807","6","35.86609314","1","331"
"FRA",2017,"3.6815","4.283534418","1280.686732","3.19","98.7","100","64","4.246571294","5.502959884","6.734731969","810.7067671","5.330386519","20","83.97697519","6.048352863","5.844440795","5.283745147","5.122340441","5.465982622","0.984499176","5.57165033","7","108.048267","3.5","518"
"DEU",2017,"3.89517","4.902850517","1291.003446","3.889","99.2","100","82","5.037659465","5.834438058","6.444920972","719.1802465","4.559229971","20.5","95.55160289","5.551636276","5.360685862","5.621777292","5.322277069","9.358568749","1.1716646","5.665976434","7","118.1869095","3","432"
"GRC",2017,"7.5512","5.351195098","1136.180995","4.38","99","100","48","3.717323151","4.344676342","5.259840205","1042.16316","4.844838623","19.5","74.87371888","4.295305917","2.840026388","4.536813175","3.629629612","1.695968475","3.752864539","5.145383083","7","59.08688711","1","476"
"HUN",2017,"4.04592","4.829565163","1446.12269","3.08","98","100","72","3.490881695","4.904591863","4.773452536","976.2463689","3.806229477","18","77.67117196","4.060337573","3.546628369","3.195001554","5.300000191","8.483284962","0.734599356","4.577035775","6","58.03842307","1","385"
"IRL",2017,"2.16157","6.106630845","1031.064124","2.67","90.5","97.9","29","5.259362157","5.676871006","6.460514502","982.5095516","6.189885819","20","77.16489157","4.955647124","3.983808126","5.225515018","4.460526228","2.730506545","1.392784671","5.554916999","7","84.76546607","0","266"
